City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Vestmannaeyjar,IS,63.4427,-20.2734,40.55,84,100,38.59,heavy intensity rain
79,Rocha,UY,-34.4833,-54.3333,61.11,61,6,8.32,clear sky
80,Chokurdakh,RU,70.6333,147.9167,-7.42,100,100,2.71,overcast clouds
81,Bhan,PK,26.5583,67.7214,81.43,10,0,0.85,clear sky
82,Awbari,LY,26.5921,12.7805,79.12,15,5,2.68,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,27.16,75,57,10.25,broken clouds
84,Black River,JM,18.0264,-77.8487,85.98,65,98,4.21,overcast clouds
85,Bengkulu,ID,-3.8004,102.2655,75.29,94,100,7.58,moderate rain
86,Mahebourg,MU,-20.4081,57.7,73.26,75,47,16.78,scattered clouds
87,Tiarei,PF,-17.5333,-149.3333,82.42,79,49,21.3,light rain
88,Kangalassy,RU,62.3464,129.9628,17.53,96,57,4.61,broken clouds
89,Xalpatlahuac,MX,17.4667,-98.6167,74.23,51,98,6.71,overcast clouds
90,Vila Velha,BR,-20.3297,-40.2925,73.33,90,99,10.45,overcast clouds
91,Were Ilu,ET,10.6,39.4333,47.98,66,7,5.44,clear sky
92,Thompson,CA,55.7435,-97.8558,47.95,56,98,7.14,overcast clouds
93,Murray Bridge,AU,-35.1167,139.2667,60.69,81,100,5.86,overcast clouds
94,Vanino,RU,49.0869,140.2543,23.83,66,2,9.86,clear sky
95,Chardara,KZ,41.2547,67.9692,58.59,30,92,6.8,overcast clouds
96,Torbay,CA,47.6666,-52.7314,43.39,91,100,11.01,overcast clouds
97,Aras,ES,42.5617,-2.356,59.05,82,75,2.3,broken clouds
98,Alghero,IT,40.5589,8.3181,58.98,71,0,3.44,clear sky
99,Bandarbeyla,SO,9.4942,50.8122,77.38,90,55,13.51,broken clouds
100,Kingston,JM,17.997,-76.7936,86.16,74,99,5.01,overcast clouds
101,Liancheng,CN,24.0519,105.075,48.81,96,32,1.48,scattered clouds
102,Port Elizabeth,ZA,-33.918,25.5701,53.1,93,90,8.05,moderate rain
103,Barrow,US,71.2906,-156.7887,21.22,79,90,3.44,heavy snow
104,Kapaa,US,22.0752,-159.319,80.58,75,40,5.99,light rain
105,Cooma,AU,-36.2333,149.1333,39.13,89,13,2.08,few clouds
106,Hami,CN,42.8,93.45,51.55,24,0,3.2,clear sky
107,Porto Novo,BJ,6.4965,2.6036,78.93,85,30,6.33,light rain
108,Sidi Ali,DZ,36.0998,0.4206,67.33,66,4,4.7,clear sky
109,Batemans Bay,AU,-35.7167,150.1833,49.1,82,3,4.32,clear sky
110,Roseburg,US,43.2165,-123.3417,63.75,82,75,0.0,broken clouds
111,Port Lincoln,AU,-34.7333,135.8667,56.01,86,84,8.43,broken clouds
112,Mackay,AU,-21.15,149.2,75.04,88,26,8.57,scattered clouds
113,Limbang,MY,4.75,115.0,77.11,98,94,2.04,overcast clouds
114,Dudinka,RU,69.4058,86.1778,34.38,99,100,12.24,light rain
115,Tucuman,AR,-26.8241,-65.2226,82.4,24,20,8.05,few clouds
116,Bredasdorp,ZA,-34.5322,20.0403,48.27,70,18,1.59,few clouds
117,Meulaboh,ID,4.1363,96.1285,75.96,85,100,3.87,light rain
118,Bluff,NZ,-46.6,168.3333,50.95,87,99,12.39,overcast clouds
119,Tasiilaq,GL,65.6145,-37.6368,26.76,54,43,7.94,scattered clouds
120,Merauke,ID,-8.4667,140.3333,76.91,89,69,9.15,broken clouds
121,Tuatapere,NZ,-46.1333,167.6833,50.02,93,100,9.24,overcast clouds
122,Margate,GB,51.3813,1.3862,58.71,79,6,4.0,clear sky
123,Hermanus,ZA,-34.4187,19.2345,54.9,63,58,5.32,broken clouds
124,Yerbogachen,RU,61.2767,108.0108,26.64,87,100,9.73,overcast clouds
125,Padang,ID,-0.9492,100.3543,77.83,87,100,1.41,overcast clouds
126,Carnarvon,AU,-24.8667,113.6333,63.9,67,5,5.77,clear sky
127,Vavozh,RU,56.7751,51.931,47.16,67,100,11.05,overcast clouds
128,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,100,11.5,overcast clouds
129,Dingle,PH,10.9995,122.6711,75.97,92,14,5.84,few clouds
130,Castro,BR,-24.7911,-50.0119,58.32,98,100,6.67,overcast clouds
131,Kaeo,NZ,-35.1,173.7833,61.32,97,51,6.26,broken clouds
132,Ilulissat,GL,69.2167,-51.1,19.42,27,1,28.77,clear sky
133,Wahiawa,US,21.5028,-158.0236,80.92,64,20,17.27,few clouds
134,Baculin,PH,7.4525,126.5842,78.85,86,100,4.43,overcast clouds
135,Morgan City,US,29.6994,-91.2068,73.99,35,8,8.05,clear sky
136,Norrtalje,SE,59.758,18.705,43.84,57,0,11.05,clear sky
137,Mar Del Plata,AR,-38.0023,-57.5575,56.88,34,98,1.01,overcast clouds
138,Nouadhibou,MR,20.931,-17.0347,73.69,66,0,17.45,clear sky
139,New Norfolk,AU,-42.7826,147.0587,51.3,70,100,3.0,overcast clouds
140,Burgeo,CA,47.6167,-57.6152,48.79,90,100,10.65,overcast clouds
141,Lompoc,US,34.6391,-120.4579,76.78,72,75,11.99,broken clouds
